ctry_cd,iban_len,bank_id_pos_s,bank_id_pos_e,branch_id_pos_s,branch_id_pos_e,iban_struct
AD,24,1,4,5,8,ADnnnnnnnnnncccccccccccc
AE,23,1,3,,,AEnnnnnnnnnnnnnnnnnnnnn
AL,28,1,3,4,8,ALnnnnnnnnnncccccccccccccccc
AT,20,1,5,,,ATnnnnnnnnnnnnnnnnnn
AZ,28,1,4,,,AZnnaaaacccccccccccccccccccc
BA,20,1,3,4,6,BAnnnnnnnnnnnnnnnnnn
BE,16,1,3,,,BEnnnnnnnnnnnnnn
BG,22,1,4,5,8,BGnnaaaannnnnncccccccc
BH,22,1,4,,,BHnnaaaacccccccccccccc
BI,27,1,5,6,10,BInnnnnnnnnnnnnnnnnnnnnnnnn
BR,29,1,8,9,13,BRnnnnnnnnnnnnnnnnnnnnnnnnnac
BY,28,1,4,,,BYnnccccnnnncccccccccccccccc
CH,21,1,5,,,CHnnnnnnncccccccccccc
CR,22,1,4,,,CRnnnnnnnnnnnnnnnnnnnn
CY,28,1,3,4,8,CYnnnnnnnnnncccccccccccccccc
CZ,24,1,4,,,CZnnnnnnnnnnnnnnnnnnnnnn
DE,22,1,8,,,DEnnnnnnnnnnnnnnnnnnnn
DJ,27,1,5,6,10,DJnnnnnnnnnnnnnnnnnnnnnnnnn
DK,18,1,4,,,DKnnnnnnnnnnnnnnnn
DO,28,1,4,,,DOnnccccnnnnnnnnnnnnnnnnnnnn
EE,20,1,2,,,EEnnnnnnnnnnnnnnnnnn
EG,29,1,4,5,8,EGnnnnnnnnnnnnnnnnnnnnnnnnnnn
ES,24,1,4,5,8,ESnnnnnnnnnnnnnnnnnnnnnn
FI,18,1,3,,,FInnnnnnnnnnnnnnnn
FK,18,1,2,,,FKnnaannnnnnnnnnnn
FO,18,1,4,,,FOnnnnnnnnnnnnnnnn
FR,27,1,5,,,FRnnnnnnnnnnnncccccccccccnn
GB,22,1,4,5,10,GBnnaaaannnnnnnnnnnnnn
GE,22,1,2,,,GEnnaannnnnnnnnnnnnnnn
GI,23,1,4,,,GInnaaaaccccccccccccccc
GL,18,1,4,,,GLnnnnnnnnnnnnnnnn
GR,27,1,3,4,7,GRnnnnnnnnncccccccccccccccc
GT,28,1,4,,,GTnncccccccccccccccccccccccc
HR,21,1,7,,,HRnnnnnnnnnnnnnnnnnnn
HU,28,1,3,4,7,HUnnnnnnnnnnnnnnnnnnnnnnnnnn
IE,22,1,4,5,10,IEnnaaaannnnnnnnnnnnnn
IL,23,1,3,4,6,ILnnnnnnnnnnnnnnnnnnnnn
IQ,23,1,4,5,7,IQnnaaaannnnnnnnnnnnnnn
IS,26,1,2,3,4,ISnnnnnnnnnnnnnnnnnnnnnnnn
IT,27,2,6,7,11,ITnnannnnnnnnnncccccccccccc
JO,30,1,4,5,8,JOnnaaaannnncccccccccccccccccc
KW,30,1,4,,,KWnnaaaacccccccccccccccccccccc
KZ,20,1,3,,,KZnnnnnccccccccccccc
LB,28,1,4,,,LBnnnnnncccccccccccccccccccc
LC,32,1,4,,,LCnnaaaacccccccccccccccccccccccc
LI,21,1,5,,,LInnnnnnncccccccccccc
LT,20,1,5,,,LTnnnnnnnnnnnnnnnnnn
LU,20,1,3,,,LUnnnnnccccccccccccc
LV,21,1,4,,,LVnnaaaaccccccccccccc
LY,25,1,3,4,6,LYnnnnnnnnnnnnnnnnnnnnnnn
MC,27,1,5,6,10,MCnnnnnnnnnnnncccccccccccnn
MD,24,1,2,,,MDnncccccccccccccccccccc
ME,22,1,3,,,MEnnnnnnnnnnnnnnnnnnnn
MK,19,1,3,,,MKnnnnnccccccccccnn
MN,20,1,4,,,MNnnnnnnnnnnnnnnnnnn
MR,27,1,5,6,10,MRnnnnnnnnnnnnnnnnnnnnnnnnn
MT,31,1,4,5,9,MTnnaaaannnnncccccccccccccccccc
MU,30,1,6,7,8,MUnnaaaannnnnnnnnnnnnnnnnnnaaa
NI,28,1,4,,,NInnaaaannnnnnnnnnnnnnnnnnnn
NL,18,1,4,,,NLnnaaaannnnnnnnnn
NO,15,1,4,,,NOnnnnnnnnnnnnn
OM,23,1,3,,,OMnnnnncccccccccccccccc
PL,28,,,1,8,PLnnnnnnnnnnnnnnnnnnnnnnnnnn
PS,29,1,4,,,PSnnaaaaccccccccccccccccccccc
PT,25,1,4,5,8,PTnnnnnnnnnnnnnnnnnnnnnnn
QA,29,1,4,,,QAnnaaaaccccccccccccccccccccc
RO,24,1,4,,,ROnnaaaacccccccccccccccc
RS,22,1,3,,,RSnnnnnnnnnnnnnnnnnnnn
RU,33,1,9,10,14,RUnnnnnnnnnnnnnnnnccccccccccccccc
SA,24,1,2,,,SAnnnncccccccccccccccccc
SC,31,1,6,7,8,SCnnaaaannnnnnnnnnnnnnnnnnnnaaa
SD,18,1,2,,,SDnnnnnnnnnnnnnnnn
SE,24,1,3,,,SEnnnnnnnnnnnnnnnnnnnnnn
SI,19,1,5,,,SInnnnnnnnnnnnnnnnn
SK,24,1,4,,,SKnnnnnnnnnnnnnnnnnnnnnn
SM,27,2,6,7,11,SMnnannnnnnnnnncccccccccccc
SO,23,1,4,5,7,SOnnnnnnnnnnnnnnnnnnnnn
ST,25,1,4,5,8,STnnnnnnnnnnnnnnnnnnnnnnn
SV,28,1,4,,,SVnnaaaannnnnnnnnnnnnnnnnnnn
TL,23,1,3,,,TLnnnnnnnnnnnnnnnnnnnnn
TN,24,1,2,3,5,TNnnnnnnnnnnnnnnnnnnnnnn
TR,26,1,5,,,TRnnnnnnnncccccccccccccccc
UA,29,1,6,,,UAnnnnnnnnccccccccccccccccccc
VA,22,1,3,,,VAnnnnnnnnnnnnnnnnnnnn
VG,24,1,4,,,VGnnaaaannnnnnnnnnnnnnnn
XK,20,1,2,3,4,XKnnnnnnnnnnnnnnnnnn
YE,30,1,4,5,8,YEnnaaaannnncccccccccccccccccc
